image_name,champion_onehot,champion_name
image_0.jpg,23,Warwick
image_1.jpg,74,Taric
image_2.jpg,2,Camille
image_9.jpg,22,Talon
image_10.jpg,73,Shaco
image_11.jpg,80,Urgot
image_15.jpg,33,Miss Fortune
image_16.jpg,7,Kassadin
image_17.jpg,5,Illaoi
image_18.jpg,50,Vi
image_19.jpg,23,Warwick
image_20.jpg,74,Taric
image_21.jpg,2,Camille
image_22.jpg,73,Shaco
image_23.jpg,22,Talon
image_24.jpg,27,Ekko
image_25.jpg,63,Twisted Fate
image_26.jpg,25,Zyra
image_27.jpg,66,Katarina
image_28.jpg,3,Darius
image_29.jpg,23,Warwick
image_30.jpg,74,Taric
image_31.jpg,2,Camille
image_32.jpg,22,Talon
image_33.jpg,72,Samira
image_34.jpg,17,Quinn
image_35.jpg,4,Ezreal
image_36.jpg,14,Blitzcrank
image_37.jpg,70,Heimerdinger
image_38.jpg,65,Garen
image_39.jpg,61,Mechanical Bear
image_40.jpg,10,Singed
image_41.jpg,81,Yone
image_42.jpg,23,Warwick
image_43.jpg,20,Swain
image_44.jpg,2,Camille
image_45.jpg,17,Quinn
image_46.jpg,12,Ziggs
image_47.jpg,16,Lulu
image_48.jpg,7,Kassadin
image_49.jpg,37,Vex
image_50.jpg,3,Darius
image_51.jpg,14,Blitzcrank
image_52.jpg,81,Yone
image_53.jpg,23,Warwick
image_54.jpg,20,Swain
image_55.jpg,2,Camille
image_56.jpg,72,Samira
image_57.jpg,17,Quinn
image_58.jpg,22,Talon
image_59.jpg,17,Quinn
image_60.jpg,67,Kog'Maw
image_61.jpg,74,Taric
image_62.jpg,75,Dr. Mundo
image_63.jpg,5,Illaoi
image_64.jpg,28,Gangplank
image_65.jpg,81,Yone
image_66.jpg,23,Warwick
image_67.jpg,20,Swain
image_68.jpg,2,Camille
image_69.jpg,72,Samira
image_70.jpg,17,Quinn
image_71.jpg,70,Heimerdinger
image_72.jpg,25,Zyra
image_73.jpg,38,Zac
image_74.jpg,5,Illaoi
image_75.jpg,69,Trundle
image_76.jpg,50,Vi
image_77.jpg,81,Yone
image_78.jpg,23,Warwick
image_79.jpg,20,Swain
image_80.jpg,2,Camille
image_81.jpg,72,Samira
image_82.jpg,17,Quinn
image_83.jpg,22,Talon
image_84.jpg,73,Shaco
image_85.jpg,25,Zyra
image_86.jpg,27,Ekko
image_87.jpg,63,Twisted Fate
image_88.jpg,41,Braum
image_89.jpg,3,Darius
image_90.jpg,81,Yone
image_91.jpg,30,Leona
image_92.jpg,23,Warwick
image_93.jpg,2,Camille
image_94.jpg,72,Samira
image_95.jpg,17,Quinn
image_96.jpg,46,Orianna
image_97.jpg,80,Urgot
image_98.jpg,17,Quinn
image_99.jpg,28,Gangplank
image_100.jpg,78,Fiora
image_101.jpg,33,Miss Fortune
image_102.jpg,38,Zac
image_103.jpg,50,Vi
image_104.jpg,81,Yone
image_105.jpg,30,Leona
image_106.jpg,23,Warwick
image_107.jpg,2,Camille
image_108.jpg,72,Samira
image_109.jpg,83,Yuumi
image_110.jpg,17,Quinn
image_111.jpg,46,Orianna
image_112.jpg,3,Darius
image_113.jpg,44,Jhin
image_114.jpg,41,Braum
image_115.jpg,46,Orianna
image_116.jpg,68,Tristana
image_117.jpg,30,Leona
image_118.jpg,14,Blitzcrank
image_119.jpg,81,Yone
image_120.jpg,30,Leona
image_121.jpg,23,Warwick
image_122.jpg,2,Camille
image_123.jpg,83,Yuumi
image_124.jpg,72,Samira
image_125.jpg,46,Orianna
image_126.jpg,17,Quinn
image_127.jpg,25,Zyra
image_128.jpg,10,Singed
image_129.jpg,70,Heimerdinger
image_130.jpg,24,Zilean
image_131.jpg,76,Janna
image_132.jpg,74,Taric
image_133.jpg,71,Lissandra
image_134.jpg,60,Mechanical Scarab
image_135.jpg,81,Yone
image_136.jpg,30,Leona
image_137.jpg,23,Warwick
image_138.jpg,2,Camille
image_139.jpg,76,Janna
image_140.jpg,72,Samira
image_141.jpg,46,Orianna
image_142.jpg,17,Quinn
image_143.jpg,14,Blitzcrank
image_144.jpg,4,Ezreal
image_145.jpg,70,Heimerdinger
image_146.jpg,65,Garen
image_147.jpg,74,Taric
image_148.jpg,30,Leona
image_149.jpg,61,Mechanical Bear
image_150.jpg,10,Singed
image_151.jpg,81,Yone
image_152.jpg,30,Leona
image_153.jpg,23,Warwick
image_154.jpg,2,Camille
image_155.jpg,76,Janna
image_156.jpg,72,Samira
image_157.jpg,46,Orianna
image_158.jpg,17,Quinn
image_159.jpg,63,Twisted Fate
image_160.jpg,25,Zyra
image_161.jpg,73,Shaco
image_162.jpg,27,Ekko
image_163.jpg,37,Vex
image_164.jpg,41,Braum
image_165.jpg,3,Darius
image_166.jpg,81,Yone
image_167.jpg,30,Leona
image_168.jpg,23,Warwick
image_169.jpg,2,Camille
image_170.jpg,72,Samira
image_171.jpg,46,Orianna
image_172.jpg,17,Quinn
image_173.jpg,25,Zyra
image_174.jpg,58,Viktor
image_175.jpg,24,Zilean
image_176.jpg,76,Janna
image_177.jpg,74,Taric
image_178.jpg,38,Zac
image_179.jpg,71,Lissandra
image_180.jpg,81,Yone
image_181.jpg,30,Leona
image_182.jpg,78,Fiora
image_183.jpg,2,Camille
image_184.jpg,72,Samira
image_185.jpg,54,Kai'Sa
image_186.jpg,46,Orianna
image_187.jpg,17,Quinn
image_188.jpg,4,Ezreal
image_189.jpg,76,Janna
image_190.jpg,74,Taric
image_191.jpg,10,Singed
image_194.jpg,5,Illaoi
image_195.jpg,2,Camille
image_205.jpg,28,Gangplank
image_209.jpg,17,Quinn
image_210.jpg,11,Twitch
image_211.jpg,23,Warwick
image_212.jpg,10,Singed
image_213.jpg,10,Singed
image_214.jpg,5,Illaoi
image_215.jpg,2,Camille
image_222.jpg,28,Gangplank
image_223.jpg,17,Quinn
image_227.jpg,14,Blitzcrank
image_228.jpg,65,Garen
image_229.jpg,30,Leona
image_230.jpg,7,Kassadin
image_231.jpg,9,Poppy
