Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag
Mortdog,Double Gnar - and his Double Friends! | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=xDB1-Lg9Rys,2022-03-24,13313,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,VIP Zeri Carry - Unkillable & Uncatchable | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=WWFyZ81Eteo,2022-03-23,18176,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,Big Bad Doggo - The Ultimate BIS Warwick | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=ry1YpJ5XIIE,2022-03-22,23762,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,Gangplank 3 - Mercs into so much damage! | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=SIesF0VeiaY,2022-03-21,18980,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,Socialite Khazy - When Irelia is contested | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=9c7xu_BikyU,2022-03-20,15029,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Innovator Jayce - Don't take this 1-4 | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=N3Ktk_fjnek,2022-03-19,15971,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Assassin Vi - Punching the backline | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=gbvHLdLhuts,2022-03-18,15612,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,4 Score Ahri - Gamble with Confidence | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=P51QP2yFzlU,2022-03-17,17939,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Hextech Viktor - The true creator | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=dRGt-WPA1og,2022-03-16,16739,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Mutant Mercs - Two of my favorite things | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=HxWxbBoPl1s,2022-03-15,30217,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,Teaching Syndra - She gets pretty smart | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=ZGBV4kmlXmg,2022-03-14,23785,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,VIP Brand 3 - Insane Early Game Power | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=r_mcUEOgAms,2022-03-13,18223,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,5 Merc Kench - 38 Components?! | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=AJ8Hg5ee1ys,2022-03-12,20803,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
Mortdog,5x Redemption - Redeeming Redemption | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=8IUSjBfG8WY,2022-03-11,26062,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Built Diff Viktor - Innovating to End Game | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=OAPi59VeVbY,2022-03-10,17333,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,7 Debonair Draven - How do I keep doing this?! | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=AcXqu17PRaE,2022-03-09,19057,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,7 Syndicate Vi - Who needs Ashe or Ahri? | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=L4-Cz_mCa3o,2022-03-08,20421,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,5 Twinshot & Mercs - Pew Pew for much gold | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=bw3ceaHQd24,2022-03-07,21342,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Senna3 + Egg - Who highrolled harder? | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=4pe77oNU5pM,2022-03-06,23401,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,Crazy 'Sin TK - Insanely close game | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=JdW7KFGim9U,2022-03-05,16549,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,7 Innovator - Tiny Titan Ezreal | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=85yc-8ejJXk,2022-03-04,24197,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
Mortdog,So Small Yordles - This augment's busted | TFT Neon Nights | Teamfight Tactics,https://www.youtube.com/watch?v=8lY8fEybwgw,2022-03-03,26947,,"['mort tft', 'tft', 'teamfight tactics', 'teamfight tactics guide', 'teamfight tactics strategy', 'teamfight tactics gameplay', 'teamfight tactics build', 'teamfight tactics op', 'team fight tactics', 'lol', 'tft guide', 'how to tft', 'best comps tft', 'lol tft', 'tft gameplay', 'auto chess lol', 'lol teamfight tactics', 'mort teamfight tactics', 'mortdog', 'mortdog tft', 'mortdog teamfight tactics', 'League of Legends', 'Riot', 'TFT Reckoning', 'Reckoning', 'TFT Set 5', 'Set 5']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08.0.110.06.01.06.0"" progressive=""False"" type=""video"">",30,397
